index,weapon_name,upgrade_name,hint,cost,weapon_voice_over,weapon_voice_over_response,ammo_cost,create_vox,in_box,box_limit,
0,m1911_zm,,ZOMBIE_WEAPON_M1911,50,,,,,false,,
1,m1911_upgraded_zm,,ZOMBIE_WEAPON_M1911,50,,,,,false,,
2,m14_zm,,ZOMBIE_WEAPON_M14,500,rifle,,250,,false,,
3,ak74u_zm,,ZOMBIE_WEAPON_AK74U,1200,smg,,500,,false,,
4,raygun_mark2_zm,,ZOMBIE_WEAPON_RAYGUN_MARK2,10000,raygun_mark2,,,,true,1,
5,frag_grenade_zm,,ZOMBIE_WEAPON_FRAG_GRENADE,250,grenade,,,,false,,
6,slipgun_zm,,ZOMBIE_WEAPON_SLIPGUN,10,slip,,,,true,1,
7,python_zm,,ZOMBIE_WEAPON_PYTHON,10,wpck_python,,,,true,,
8,judge_zm,,ZOMBIE_WEAPON_JUDGE,10,wpck_judge,,,,true,,
9,kard_zm,,ZOMBIE_WEAPON_KARD,10,wpck_kap,,,,true,,
10,fiveseven_zm,,ZOMBIE_WEAPON_FIVESEVEN,10,wpck_57,,,,true,,
11,fivesevendw_zm,,ZOMBIE_WEAPON_FIVESEVENDW,10,wpck_duel57,,,,true,,
12,qcw05_zm,,ZOMBIE_WEAPON_QCW05,10,wpck_chicom,,,,true,,
13,saiga12_zm,,ZOMBIE_WEAPON_SAIGA12,10,wpck_saiga12,,,,true,,
14,xm8_zm,,ZOMBIE_WEAPON_XM8,10,wpck_m8a1,,,,true,,
15,type95_zm,,ZOMBIE_WEAPON_TYPE95,10,wpck_type25,,,,true,,
16,tar21_zm,,ZOMBIE_WEAPON_TAR21,10,wpck_x95l,,,,true,,
17,galil_zm,,ZOMBIE_WEAPON_GALIL,10,wpck_galil,,,,true,,
18,dsr50_zm,,ZOMBIE_WEAPON_DR50,10,wpck_dsr50,,,,true,,
19,rpd_zm,,ZOMBIE_WEAPON_RPD,10,wpck_rpd,,,,true,,
20,hamr_zm,,ZOMBIE_WEAPON_HAMR,10,wpck_hamr,,,,true,,
21,usrpg_zm,,ZOMBIE_WEAPON_USRPG,10,wpck_rpg,,,,true,,
22,ray_gun_zm,,ZOMBIE_WEAPON_RAYGUN,10,wpck_ray,,,,true,,
23,knife_ballistic_zm,,ZOMBIE_WEAPON_KNIFE_BALLISTIC,10,sickle,,,,true,1,
24,barretm82_zm,,ZOMBIE_WEAPON_BARRETM82,50,sniper,,,,true,,
