index,weapon_name,upgrade_name,hint,cost,weapon_voice_over,weapon_voice_over_response,ammo_cost,create_vox,in_box,box_limit,
0,m1911_zm,m1911_upgraded_zm,ZOMBIE_WEAPON_M1911,50,,,,,false,,
1,m1911_upgraded_zm,,ZOMBIE_WEAPON_M1911,50,,,,,false,,
2,m14_zm,,ZOMBIE_WEAPON_M14,500,rifle,,250,,false,,
3,ballista_zm,,ZMWEAPON_BALLISTA_WALLBUY,500,wpck_snipe,,250,,false,,
4,ak74u_zm,,ZOMBIE_WEAPON_AK74U,1200,smg,,500,,false,,
5,raygun_mark2_zm,raygun_mark2_upgraded_zm,ZOMBIE_WEAPON_RAYGUN_MARK2,10000,raygun_mark2,,,,true,1,
6,frag_grenade_zm,,ZOMBIE_WEAPON_FRAG_GRENADE,250,grenade,,,,false,,
7,thundergun_zm,thundergun_upgraded_zm,WEAPON_THUNDERGUN,50,,,,,true,1,
8,thundergun_upgraded_zm,,WEAPON_THUNDERGUN,50,,,,,false,,
9,python_zm,,ZOMBIE_WEAPON_PYTHON,10,wpck_python,,,,true,,
10,judge_zm,,ZOMBIE_WEAPON_JUDGE,10,wpck_judge,,,,true,,
11,kard_zm,,ZOMBIE_WEAPON_KARD,10,wpck_kap,,,,true,,
12,fiveseven_zm,,ZOMBIE_WEAPON_FIVESEVEN,10,wpck_57,,,,true,,
13,fivesevendw_zm,,ZOMBIE_WEAPON_FIVESEVENDW,10,wpck_duel57,,,,true,,
14,qcw05_zm,,ZOMBIE_WEAPON_QCW05,10,wpck_chicom,,,,true,,
15,saiga12_zm,,ZOMBIE_WEAPON_SAIGA12,10,wpck_saiga12,,,,true,,
16,xm8_zm,,ZOMBIE_WEAPON_XM8,10,wpck_m8a1,,,,true,,
17,type95_zm,,ZOMBIE_WEAPON_TYPE95,10,wpck_type25,,,,true,,
18,tar21_zm,,ZOMBIE_WEAPON_TAR21,10,wpck_x95l,,,,true,,
19,galil_zm,,ZOMBIE_WEAPON_GALIL,10,wpck_galil,,,,true,,
20,dsr50_zm,,ZOMBIE_WEAPON_DR50,50,wpck_dsr50,,,,true,,
21,rpd_zm,,ZOMBIE_WEAPON_RPD,10,wpck_rpd,,,,true,,
22,hamr_zm,,ZOMBIE_WEAPON_HAMR,10,wpck_hamr,,,,true,,
23,m32_zm,,ZOMBIE_WEAPON_M32,10,wpck_m32,,,,true,,
24,ray_gun_zm,ray_gun_upgraded_zm,ZOMBIE_WEAPON_RAYGUN,10,wpck_ray,,,,true,,
25,knife_ballistic_zm,,ZOMBIE_WEAPON_KNIFE_BALLISTIC,10,sickle,,,,true,1,
26,barretm82_zm,,ZOMBIE_WEAPON_BARRETM82,50,sniper,,,,true,,
27,cymbal_monkey_zm,,ZOMBIE_WEAPON_SATCHEL_2000,2000,wpck_monkey,,,,true,,
28,ray_gun_upgraded_zm,,ZOMBIE_WEAPON_RAYGUN,10,wpck_ray,,,,false,,
29,raygun_mark2_upgraded_zm,,ZOMBIE_WEAPON_RAYGUN_MARK2,10000,raygun_mark2,,,,false,,
30,m16_zm,m16_gl_upgraded_zm,ZOMBIE_WEAPON_M16,1200,burstrifle,,600,,false,,
